Version,ID,Book,Chapter,Chapter Title,Content
New International Version,NIV,Exodus,1,The Israelites Oppressed,NIV_Exodus_1_2024-03-06.html
New International Version,NIV,Exodus,2,The Birth of Moses,NIV_Exodus_2_2024-03-06.html
New International Version,NIV,Exodus,3,Moses and the Burning Bush,NIV_Exodus_3_2024-03-06.html
New International Version,NIV,Exodus,4,Signs for Moses,NIV_Exodus_4_2024-03-06.html
New International Version,NIV,Exodus,5,Bricks Without Straw,NIV_Exodus_5_2024-03-06.html
New International Version,NIV,Exodus,6,Family Record of Moses and Aaron,NIV_Exodus_6_2024-03-06.html
New International Version,NIV,Exodus,7,Aarons Staff Becomes a Snake,NIV_Exodus_7_2024-03-06.html
New International Version,NIV,Exodus,8,The Plague of Gnats,NIV_Exodus_8_2024-03-06.html
New International Version,NIV,Exodus,9,The Plague on Livestock,NIV_Exodus_9_2024-03-06.html
New International Version,NIV,Exodus,10,The Plague of Locusts,NIV_Exodus_10_2024-03-06.html
New International Version,NIV,Exodus,11,The Plague on the Firstborn,NIV_Exodus_11_2024-03-06.html
New International Version,NIV,Exodus,12,The Passover and the Festival of Unleavened Bread(A),NIV_Exodus_12_2024-03-06.html
New International Version,NIV,Exodus,13,Consecration of the Firstborn,NIV_Exodus_13_2024-03-06.html
New International Version,NIV,Exodus,14,,NIV_Exodus_14_2024-03-06.html
New International Version,NIV,Exodus,15,The Song of Moses and Miriam,NIV_Exodus_15_2024-03-06.html
New International Version,NIV,Exodus,16,Manna and Quail,NIV_Exodus_16_2024-03-06.html
New International Version,NIV,Exodus,17,Water From the Rock,NIV_Exodus_17_2024-03-06.html
New International Version,NIV,Exodus,18,Jethro Visits Moses,NIV_Exodus_18_2024-03-06.html
New International Version,NIV,Exodus,19,At Mount Sinai,NIV_Exodus_19_2024-03-06.html
New International Version,NIV,Exodus,20,The Ten Commandments(A),NIV_Exodus_20_2024-03-06.html
New International Version,NIV,Exodus,21,Hebrew Servants(B)(C),NIV_Exodus_21_2024-03-06.html
New International Version,NIV,Exodus,22,Protection of Property,NIV_Exodus_22_2024-03-06.html
New International Version,NIV,Exodus,23,Laws of Justice and Mercy,NIV_Exodus_23_2024-03-06.html
New International Version,NIV,Exodus,24,The Covenant Confirmed,NIV_Exodus_24_2024-03-06.html
New International Version,NIV,Exodus,25,Offerings for the Tabernacle(A),NIV_Exodus_25_2024-03-06.html
New International Version,NIV,Exodus,26,The Tabernacle(A),NIV_Exodus_26_2024-03-06.html
New International Version,NIV,Exodus,27,The Altar of Burnt Offering(A),NIV_Exodus_27_2024-03-06.html
New International Version,NIV,Exodus,28,The Priestly Garments,NIV_Exodus_28_2024-03-06.html
New International Version,NIV,Exodus,29,Consecration of the Priests(A),NIV_Exodus_29_2024-03-06.html
New International Version,NIV,Exodus,30,The Altar of Incense(A),NIV_Exodus_30_2024-03-06.html
New International Version,NIV,Exodus,31,Bezalel and Oholiab(A),NIV_Exodus_31_2024-03-06.html
New International Version,NIV,Exodus,32,The Golden Calf,NIV_Exodus_32_2024-03-06.html
New International Version,NIV,Exodus,33,The Tent of Meeting,NIV_Exodus_33_2024-03-06.html
New International Version,NIV,Exodus,34,The New Stone Tablets,NIV_Exodus_34_2024-03-06.html
New International Version,NIV,Exodus,35,Sabbath Regulations,NIV_Exodus_35_2024-03-06.html
New International Version,NIV,Exodus,36,The Tabernacle(I),NIV_Exodus_36_2024-03-06.html
New International Version,NIV,Exodus,37,The Ark(A),NIV_Exodus_37_2024-03-06.html
New International Version,NIV,Exodus,38,The Altar of Burnt Offering(A),NIV_Exodus_38_2024-03-06.html
New International Version,NIV,Exodus,39,The Priestly Garments,NIV_Exodus_39_2024-03-06.html
New International Version,NIV,Exodus,40,Setting Up the Tabernacle,NIV_Exodus_40_2024-03-06.html
